Правовой результат;+7–911–238–98–62;Санкт-Петербург, Большая Пороховская, 25;pravovojrezultat.ru;info@pravovojrezultat.ru
Центр лицензирования;+7 (812) 648–24–77, +7 (812) 448–68–45;Санкт-Петербург, Фурштатская, 17;www.cpiii.ru;
Строй-Эксперт Консалт;8–800–333–66–75, +7 (812) 425–68–96;БЦ Собрание,Санкт-Петербург, Новорощинская, 4;www.sekonsalt.com;
Юридическая консультация №46;+7 (812) 408–23–51;Санкт-Петербург, Пискарёвский проспект, 63 к6 лит А;;
Адвокатская консультация №39;+7 (812) 784–67–00;Санкт-Петербург, Стачек проспект, 67 к3;;
Borenius;+7 (812) 335–22–20, +7 (812) 335–22–21;Консульство Швеции,Санкт-Петербург, Малая Конюшенная, 1/3 лит А;www.borenius.com;
Московский 150;+7 (812) 388–64–94, +7 (812) 954–54–24;Санкт-Петербург, Московский проспект, 150;московский150.рф;
Be Exclusive;+7 (812) 241–15–57, +7–981–777–74–17;БЦ Мануфактура,Санкт-Петербург, Цветочная, 25а;www.beex.su;
Коллегия адвокатов на Васильевском;+7 (812) 323–48–10, +7–981–848–88–88;Санкт-Петербург, 9-я линия В.О., 42;ur-spb.ru;
Бухгалтерия-Сервис;+7 (812) 535–55–88, +7 (812) 297–09–00;Санкт-Петербург, Муринский 2-й проспект, 49;buh-piter.ru;
Алексеев, Литвинов и партнеры;+7 (812) 332–16–42;БЦ Петровский Форт,Санкт-Петербург, Финляндский проспект, 4 лит А;;
Дмитрий Филин и Партнеры;+7 (812) 384–43–64, +7–921–907–10–36;Санкт-Петербург, Таврическая, 45;www.filinpart.ru;
Юридическое партнерство;+7–921–383–38–49;ДЦ Балтийский,Санкт-Петербург, Гаккелевская, 21 лит А;urpart-spb.ru;
ВИКИ, ООО;+7–911–228–81–18;Санкт-Петербург, Лиговский проспект, 111;;
Гарант Осаго;+7 (812) 612–75–43;Санкт-Петербург, Инструментальная, 3;platimosago.ru;
Балтийская Фемида;+7–905–213–38–88, +7–905–213–35–55;Отель Москва,Санкт-Петербург, Александра Невского площадь, 2;www.baltfemida.ru;
СПб;+7–931–337–27–04, +7–931–337–27–06;ТЦ Галерея бутиков,Санкт-Петербург, Невский проспект, 44;centerbuhuslugspb.ru;
Частная юридическая консультация;+7 (812) 579–04–28;Санкт-Петербург, Восстания, 4;;
Тэссера Консалтинг;+7 (812) 677–29–36, +7–921–180–44–83;БЦ Гранд,Санкт-Петербург, 9 Января проспект, 3 к1;тэссера.рф;
Ремеди;+7 (812) 702–51–00;БЦ Мариинский,Санкт-Петербург, Набережная реки Мойки, 58;www.remedy.ru;
Адвокатская консультация №3;+7 (812) 408–35–94;Санкт-Петербург, Московский проспект, 151;;
Академ;+7 (812) 934–79–47;Санкт-Петербург, Науки проспект, 19 к2;www.lawburg.ru;
ССП Консалт;+7 (812) 901–02–01;Санкт-Петербург, Захарьевская, 37а;ssp-consult.ru;
Адвокатский кабинет Пузырева С.С.;+7–921–445–55–38;Санкт-Петербург, Большая Пороховская, 24;pravo78reg.ru;
Успешный старт;+7 (812) 980–38–49;БЦ Sinop,Санкт-Петербург, Синопская набережная, 22;gutstart.ru;
Юридическая консультация №2;+7 (812) 649–45–96;Санкт-Петербург, Пловдивская, 9;;
Социум;+7 (812) 642–42–32, +7 (812) 642–00–60;Центральная картографическая фабрика ВМФ,Санкт-Петербург, Набережная Обводного канала, 23;socium-legal.ru;
Адвокатская консультация №17;+7 (812) 649–96–47;Санкт-Петербург, Энергетиков проспект, 24;;
Астэр;+7 (812) 571–74–19;БЦ Невский 30,Санкт-Петербург, Невский проспект, 30;www.aster-law.com;
ТИС, ООО;+7 (812) 401–62–72;БЦ Буревестник,Санкт-Петербург, Малоохтинский проспект, 68;www.audit-tis.ru;
Невская;+7 (812) 297–68–20;Санкт-Петербург, Муринский 2-й проспект, 51;;
Росэкспертиза, ООО;+7 (812) 335–95–90;Санкт-Петербург, Большая Московская, 8/2;www.rosexpertiza.ru;
Эккона, ООО;+7 (812) 622–12–13;БЦ Малая Охта,Санкт-Петербург, Шаумяна проспект, 18;www.eccona.ru;
Русский Дом, ООО;+7 (812) 314–31–98, +7–904–335–33–11, +7 (812) 312–44–32;Санкт-Петербург, Декабристов, 6;www.dekabristov6.ru;
Адвокатский кабинет Мирощенковой И.В.;+7 (812) 923–07–10;Санкт-Петербург, Ленинский проспект, 81 к1;www.advokatneva.ru;
Легас, ООО;+7 (812) 924–99–00;Санкт-Петербург, Торжковская, 2 к1;rusyur.ru;
54-я юридическая консультация;+7 (812) 408–14–67;Санкт-Петербург, Комендантская площадь, 8 лит А;;
Центр оценки и экспертизы, ООО;+7 (812) 642–73–52, +7 (812) 988–24–91;Санкт-Петербург, Маршала Казакова, 26 лит А;www.ekspertizaspb.ru;
Гражданская комиссия по правам человека, НП;+7 (812) 980–67–20, +7 (812) 640–41–25;БЦ Циолковский,Санкт-Петербург, Набережная Обводного канала, 193;www.cchr.spb.ru;
Пелевин и партнеры;+7–921–915–60–00, +7–952–357–99–74, +7–921–985–10–59;ТК Академ-Парк,Санкт-Петербург, Гражданский проспект, 41 лит Б;www.ak-pelevin.ru;
Вектор-В, ООО;+7 (812) 939–92–28;Санкт-Петербург, Звенигородская, 1;vector-v.com;
Адвокат ФРЕММ, ЗАО;+7 (812) 575–80–80;Санкт-Петербург, Стремянная, 11;www.fremm.ru;
С-Вита;+7 (812) 644–84–84;БЦ Петровский,Санкт-Петербург, Петровская коса, 1 к1;s-vitaur.ru;
Питер-Консалт, ООО;+7 (812) 380–94–17, +7–960–267–40–13, +7 (812) 645–51–53, +7 (812) 380–94–19, +7 (812) 380–94–18;Санкт-Петербург, Каменноостровский проспект, 40;piter-consalt.ru;
Малашин и партнеры;+7 (812) 334–33–27, +7 (812) 334–33–26;Санкт-Петербург, Петровский проспект, 14 к1;malashin.spb.ru;
Адвокатский кабинет Дунаевский С.А.;+7 (812) 902–02–63, +7–921–653–33–32;Санкт-Петербург, Витебская, 15;;
НС информ консалтинг, ООО;+7 (812) 415–17–05, +7 (812) 718–44–82;БЦ К2,Санкт-Петербург, Конституции площадь, 2;;
Юридический центр;+7–921–654–93–94;Гатчина, 25 Октября проспект, 10;www.servitutis.ru;
48-я Юридическая консультация Санкт-Петербурга;+7 (812) 627–61–29;БЦ Лесной,Санкт-Петербург, Лесной проспект, 63;;
Бизнес-консалт;+7 (812) 940–13–56;БЦ Полюстровский 43,Санкт-Петербург, Полюстровский проспект, 43 лит А;;
Аксиома права;+7–960–277–99–95, +7–921–947–35–24;Санкт-Петербург, Невский проспект, 112;;
Межрегиональный многофункциональный кадровый центр, ООО;+7 (812) 418–20–11, +7–952–275–95–55;БЦ Фарватер,Санкт-Петербург, Введенский канал, 7;www.mmkc-staff.ru;
Эксперт, ООО;+7 (812) 401–01–88;Санкт-Петербург, Фурштатская, 43;expert-spb.ru;
Мир эффективных решений;+7–909–585–05–47, +7–969–702–11–30;Санкт-Петербург, Ветеранов проспект, 147 лит А;мирэффективныхрешений.рф;
Адвокатский кабинет Малиновского А.А.;+7 (812) 907–05–46, +7–981–851–94–93;БЦ Лидваль,Санкт-Петербург, Большая Морская, 3-5;www.advocat78.pro;
Адвокатский кабинет Борисова М.М.;+7–965–055–35–95;Санкт-Петербург, Кузнечный переулок, 6;адвокат-78.рф;
Адвокатский кабинет Бонченкова А.И.;+7 (812) 926–43–44;ТК Эврика,Санкт-Петербург, Шлиссельбургский проспект, 3-7;;
Центр, ООО;+7–921–357–07–74, +7–950–027–40–44, +7–921–921–40–06;Кировск, Кирова, 16а;;
Ваше Право, ООО;+7 (812) 924–34–46;Бизнес-мегаполис Гайот,Санкт-Петербург, Профессора Попова, 23;;
Петролекс;+7 (812) 642–91–40, +7 (812) 642–91–50;Санкт-Петербург, Ленинский проспект, 151;petroleks.ru;
Санкт-Петербург;+7–981–870–98–23, +7 (812) 730–65–97, +7–981–862–79–40;Санкт-Петербург, Ветеранов проспект, 150;;
Адвокатский кабинет Судьина В.И.;+7 (812) 922–76–29, +7–965–004–11–32;Санкт-Петербург, Тихорецкий проспект, 15 к2;;
Блукросс, ООО;+7 (812) 347–70–68;Санкт-Петербург, Уральская, 4;;
Адвокатские кабинеты Гуляко В.Н. и Шахова А.А.;+7 (812) 465–75–38, +7 (812) 997–30–89, +7–921–649–18–83;Санкт-Петербург, Железнодорожная, 40;advokat9216491883.umi.ru;
Пеликан;+7–911–021–15–96, +7 (812) 924–89–50, +7–981–795–94–55;БЦ Антарес,Санкт-Петербург, Савушкина, 83 к3;pelican-groupe.ru;
